date,index,base_date
2025-04-15,100.0,2025-04-15
2025-04-16,99.7853,2025-04-15
2025-04-17,99.6474,2025-04-15
2025-04-18,100.1299,2025-04-15
2025-04-19,100.4671,2025-04-15
2025-04-20,100.437,2025-04-15
2025-04-21,100.8122,2025-04-15
2025-04-22,100.9882,2025-04-15
2025-04-23,100.8627,2025-04-15
2025-04-24,100.741,2025-04-15
2025-04-25,100.8777,2025-04-15
2025-04-26,100.7923,2025-04-15
2025-04-27,101.1001,2025-04-15
2025-04-28,100.8142,2025-04-15
2025-04-29,100.5761,2025-04-15
2025-04-30,100.6453,2025-04-15
2025-05-01,100.5904,2025-04-15
2025-05-02,100.7015,2025-04-15
2025-05-03,100.2444,2025-04-15
2025-05-04,100.1866,2025-04-15
2025-05-05,99.6477,2025-04-15
2025-05-06,99.5168,2025-04-15
2025-05-07,99.5248,2025-04-15
2025-05-08,99.3186,2025-04-15
2025-05-09,99.4222,2025-04-15
2025-05-10,99.2925,2025-04-15
2025-05-11,99.0194,2025-04-15
2025-05-12,98.8094,2025-04-15
2025-05-13,98.2483,2025-04-15
2025-05-14,98.5705,2025-04-15
