date,index,base_date
2025-04-15,100.0,2025-04-15
2025-04-16,100.0099,2025-04-15
2025-04-17,100.0153,2025-04-15
2025-04-18,100.739,2025-04-15
2025-04-19,101.2069,2025-04-15
2025-04-20,101.2729,2025-04-15
2025-04-21,101.6886,2025-04-15
2025-04-22,101.7394,2025-04-15
2025-04-23,101.4222,2025-04-15
2025-04-24,101.4979,2025-04-15
2025-04-25,101.6825,2025-04-15
2025-04-26,101.4722,2025-04-15
2025-04-27,101.6279,2025-04-15
2025-04-28,101.3066,2025-04-15
2025-04-29,100.9704,2025-04-15
2025-04-30,100.8395,2025-04-15
2025-05-01,100.5429,2025-04-15
2025-05-02,100.7879,2025-04-15
2025-05-03,100.0936,2025-04-15
2025-05-04,100.0887,2025-04-15
2025-05-05,99.4853,2025-04-15
2025-05-06,99.2201,2025-04-15
2025-05-07,99.652,2025-04-15
2025-05-08,99.4125,2025-04-15
2025-05-09,99.3924,2025-04-15
2025-05-10,99.0033,2025-04-15
2025-05-11,98.7505,2025-04-15
2025-05-12,98.5737,2025-04-15
2025-05-13,98.0246,2025-04-15
2025-05-14,98.4092,2025-04-15
